name,location,address,category,description,website,contact,hours
Emmaus Coffee Co,"Emmaus, PA","134 Main St","Cafe","Local coffee shop popular with students and remote workers","https://example.com/emmaus-coffee","610-555-0101","Mon–Fri 7am–6pm; Sat–Sun 8am–4pm"
The Book Store,"Allentown, PA","1002 Hamilton St","Bookstore","Independent bookstore offering new and used books","https://example.com/the-book-store","610-555-0102","Mon–Sat 10am–7pm; Sun 11am–5pm"
Copperhead Grille,"Allentown, PA","5737 Hamilton Blvd","Restaurant","American restaurant and sports bar","https://example.com/copperhead-grille","610-555-0103","Daily 11am–10pm"
Steel Fitness Premier,"Allentown, PA","1415 Lehigh St","Gym","Full-service gym with group classes and personal training","https://example.com/steel-fitness","610-555-0104","Mon–Fri 5am–10pm; Sat–Sun 7am–8pm"
Werts Cafe,"Allentown, PA","515 N 18th St","Restaurant","Historic family-owned sandwich shop","https://example.com/werts-cafe","610-555-0105","Mon–Sat 10am–8pm; Sun 11am–6pm"
Lit Roastery & Bakeshop,"Allentown, PA","723 N 19th St","Cafe","Artisan coffee roastery and bakery","https://example.com/lit-roastery","610-555-0106","Mon–Fri 7am–5pm; Sat–Sun 8am–3pm"
Moravian Book Shop,"Bethlehem, PA","428 Main St","Bookstore","Historic bookstore with community events","https://example.com/moravian-book-shop","610-555-0107","Mon–Sat 10am–8pm; Sun 11am–6pm"
The Promenade Shops,"Center Valley, PA","2845 Center Valley Pkwy","Shopping Center","Outdoor shopping and dining center","https://example.com/promenade-shops","610-555-0108","Mon–Sat 10am–9pm; Sun 11am–6pm"
South Mountain Cycle,"Allentown, PA","1415 E Emmaus Ave","Bike Shop","Bicycle sales, service, and rentals","https://example.com/south-mountain-cycle","610-555-0109","Tue–Sat 10am–6pm; Sun–Mon Closed"
Cali Burrito,"Allentown, PA","1848 W Allen St","Restaurant","Popular Mexican restaurant known for large burritos","https://example.com/cali-burrito","610-555-0110","Daily 11am–9pm"
Grim's Orchard & Family Farms,"Breinigsville, PA","1190 Orchard Dr","Farm Market","Seasonal fruit picking and farm market","https://example.com/grims-orchard","610-555-0111","Daily 9am–6pm (seasonal)"
LVHN Fitness Center,"Allentown, PA","3900 Hamilton Blvd","Fitness Center","Health-focused fitness center with classes","https://example.com/lvhn-fitness","610-555-0112","Mon–Fri 5am–9pm; Sat–Sun 7am–7pm"
Let's Play Books,"Allentown, PA","830 S Walnut St","Bookstore","Children-focused bookstore and literacy center","https://example.com/lets-play-books","610-555-0113","Mon–Sat 10am–6pm; Sun Closed"
